note_count,primary_tag,secondary_tags,blog_name,post_body,date
0,Cats of Tumblr,['creepypasta'  'creepypasta proxy'],elowenlump125,I drew Fille sauvage/Wild Girl :),2024-07-07 20:32:18 GMT
0,Cats of Tumblr,['my cat'  'cats'  "fox's posts"],foxonrollerskates,Toe beans :),2024-07-07 20:27:30 GMT
220,Cats of Tumblr,['kitkat'  'txt.me'  'mostlycatsmostly'  'cats'],wulfhalls,look at this long little guy 😭,2024-07-07 20:23:48 GMT
0,Cats of Tumblr,['tw animal death'  'referenced anyways'  'cats'  'this is the most relaxed one seen him in well over a week'],igetnobitcheswhatsoever,His last 24 hours on earth and he’s relaxing outside. First time he’s had energy to leave our house in weeks; I’m glad he got to see it one last time.,2024-07-07 20:23:10 GMT
7,Cats of Tumblr,['cats'  'family'  'pets'],idgie-stark,Been putting this post off. I wanted to write more but the words aren’t coming. Saturday a week ago we had to send my beloved Smokey across the rainbow bridge. He had been sick over a month and slowly stopped eating and drinking. After multiple vet visits and numerous tests we found he had cancer. Unfortunately his chest and abdominal cavities started filling with fluid so fast we didn’t have time to do more tests to determine treatment. He struggled to breathe. He was slowly starving.   He was suffering and I couldn’t allow that to continue.   My heart is broken. My sweet Smokes had been with us almost 12 years. He was the first cat I had after a few decades of losing my last. He was the best sweetest companion. Even at the end.   He was held in all our hands as he slipped away. He purred until the end. The usual vet we saw wasn’t there so she called us the next day and told us it was the right thing not to wait for her. He was just getting worse and worse.   I miss him every day.   I have his nose prints and paw prints. I will  Be getting those tattooed in the fall as he will always be with me.   Hug your fur babies. You never know when they will be called across the rainbow bridge.,2024-07-07 20:23:09 GMT
14,Cats of Tumblr,['cats'  'cat'  'felines'  'feline'  'i am a cat person as you can see'  'youtube'  'i love cats'  'i love them so much'],nightowl1556,Cat: ……👀  Me: Oooo a kitty! 😄  Cat: *lets out the softest meow known to mankind*  Me: sisIabsidjaisis g izgs,2024-07-07 20:10:20 GMT
8,Cats of Tumblr,['cat'  'cat people'  'cats'  'cute cats'  'cats in inconvenient places'],thevoidstaredback,Why does she insist on laying on my mouse?,2024-07-07 20:05:08 GMT
4,Cats of Tumblr,['cats'  'they’re so fucking stupid and i love them'  'the black cat is currently screaming her tiny lungs out'],asap-d1rt,hi guys look at my cats have a blessed day,2024-07-07 19:48:42 GMT
0,Cats of Tumblr,['pink pony club'  'pink pony cat'  'chappel roan'  'cats'],vicsplinters,Broke out the Cricut Cutter. Nemo is not pleased but we are all enjoying the Pink Pony Vibes.,2024-07-07 19:40:58 GMT
4,Cats of Tumblr,['i love her so much'  'my cat'  'cats'],popcorn-plots,kittyyyyyy,2024-07-07 19:31:49 GMT
