note_count,primary_tag,secondary_tags,blog_name,post_body,date
4,Palestine,['free palestine'  'news'],tieflingkisser,Counting the dead in Gaza: difficult but essentialCounting the dead in Gaza: difficult but essential  Applying a conservative estimate of four indirect deaths per one direct death to the 37 396 deaths reported it is not implausible to estimate that up to 186 000 or even more deaths could be attributable to the current conflict in Gaza. Using the 2022 Gaza Strip population estimate of 2 375 259 this would translate to 7·9% of the total population in the Gaza Strip.,2024-07-07 20:58:50 GMT
0,Palestine,[],cyanpluto,Who’s got news links for the protesters at the nascar race today?,2024-07-07 20:54:50 GMT
99,Palestine,['palestinians'  'identity theft'  'jews'  'israel'  'arabs'  'free palestine'  'kgb'  'yasser arafat'],eretzyisrael,Source,2024-07-07 20:52:52 GMT
9,Palestine,['palestine news'  'gaza'  'free palestine'  'palestine updates'  'article'],palestinews,“A horrific report reveals that the killing toll from the Israeli genocide in #Gaza could reach 186000 even if the war stops now. This would amount to 8% of Gaza’s population considering indirect and undocumented deaths resulting from the Genocide.” - Nour NaimCounting the dead in Gaza: difficult but essential,2024-07-07 21:57:27 GMT
8,Palestine,['free palestine'  'palestine genocide'  'gaza'  'gazaunderattack'  'free gaza'  'free congo'  'congo genocide'  'congo'  'haiti'  'free haiti'  'free sudan'  'keep eyes on sudan'  'sudan genocide'  'haiti crisis'  'sudan'  'sudan crisis'  'palestine children'  'gaza crisis'  'all eyes on rafah'  'all eyes on sudan'  'all eyes on gaza'  'all eyes on palestine'  'all eyes on congo'  'all eyes on haiti'],chooseoptioncbitch,They’re killing mothers fathers grandmothers grandfathers sisters brothers daughters sons children grandchildren infants  they’re killing PEOPLE   and it has to stop.,2024-07-07 21:48:09 GMT
0,Palestine,['free palestine'  'news'  'youtube'],tieflingkisser,Shujaiya fighters conduct ambushes of invading Israeli forces with Jon Elmer Jon Elmer breaks down the latest videos from the resistance in Gaza; from EI live day 271.,2024-07-07 21:45:07 GMT
14,Palestine,['free palestine'  'from the river to the sea palestine will be free'  'boycott israel'  'news from the world'  'pro palestine'  'gaza'  'boycott mcdonalds'  'boycott disney'  'boycott starbucks'  'free lebanon'],newsfrom-theworld,7/07/2024  Today’s breaking news:  The occupation army carried out an air strike on the postal and interior ministry buildings in Khan Younis southern Gaza Strip.   During the occupation army’s storming of Silwad east of Ramallah zionist soldiers cowardly vandalized resident vehicles and carried out an abduction campaign.   The IOF launched an airstrike targeting the town of Maaroub in southern Lebanon and an airstrike targeting the town of Aita Al-Shaab.   The bodies of three martyrs were recovered from the Kerem Abu Salem crossing in the southern Gaza Strip. The martyrs were released prisoners who had been detained by the occupation and were killed after the criminal IOF targeted them with artillery shelling east of Rafah southern Gaza shortly after their release.  The marks of restraints were visible on their bodies and the shackles were still on them.     Palestinian Ministry of Health: The “isr@eli” occupation committed 3 massacres against families in the Gaza Strip resulting in 55 martyrs and 123 injuries arriving at hospitals in the past 24 hours.   Ihab Al-Ghussein Undersecretary of Labor for the Palestinian government in Gaza ascended to martyrdom today after being targeted by zionist warplanes west of Gaza City   • The child Hikmat Badr ascended to martyrdom due to malnutrition and dehydration in the ongoing starvation war being imposed on the Gaza Strip.,2024-07-07 21:40:57 GMT
8,Palestine,['gaza'  'free palestine'  'free gaza'  'west bank'  'free west bank'  'ceasefire'  'palestinians'  'human'  'no hate'  'stop killing civilians'  'stop the genocide'  'from the river to the sea palestine will be free'  'humanitarian aid'  'us politics'  'just democracy at stake'  'new blue'  'global movement'  'global community'  'instagram'],thescavenger29,body &gt; iframe { min-width: auto !important }        View this post on Instagram            A post shared by seasters jones. (@seastersjones)  Stop whining. Start deciding.  Biden needs to go.  I will vote blue. But not him. Not that old ass genocidal white dude.   I am tried of this. I am tired of people telling us it’s not possible.   Mofos it’s possible and it should happen!   Permanent Ceasefire Now!  Humanitarian Aid Now!  Free Palestine Next!,2024-07-07 22:56:11 GMT
4,Palestine,['abed abdi'  'palestinian artist'  'gaza'  'cessez le feu'  'ceasefire'],lasaraconor,Abed Abdi - Displacement,2024-07-07 22:53:08 GMT
4,Palestine,['khaled hourani'  'palestinian artiste'  'gaza'  'cessez le feu'  'ceasefire'],lasaraconor,Khaled Hourani - Warning Sign 2022,2024-07-07 22:53:03 GMT
